1,አንድ አሽከርካሪ ሊከተለው የሚገባ የስራ ቦታ ደህንነት ቅደም ተከተል ያልሆነው የቱ ነው?,ሀ/ ንፅህና,ለ/ ትክክለኛ አለባበስ,ሐ/ “ሀ” ና “ለ”,መ/ መልሱ የለም,,መ
205,አደጋ ሊከሰት የሚችለው በተሽከርካሪ ቴክኒክ ችግር ብቻ ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
206,የአሽከርካሪው ብቃት ችግር ለአደጋ ምክንያትነት ከፍተኛ ድርሻ ይይዛል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
207,አካባቢያዊ ሁኔታዎች ለአደጋ የማጋለጥ ድርሻ አላቸው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
208,በድንገተኛ አደጋ ወቅት ቅድሚያ እርዳታ ሊያገኝ የሚገባው የቱ ነው?,ሀ. ንብረት,ለ. አካባቢ,ሐ. ሰው,መ. መልሱ,,ሐ
209,ከሚከተሉት ውስጥ በድንገተኛ አደጋ ወቅት ከአሽከርካሪዎች የሚጠበቅ ኃላፊነት የቱ ነው?,ሀ. ለተጐጂ ሰዎች የመጀመሪያ እርዳታ መስጠት,ለ. የተጐዱ ሰዎችን ወደ አቅራቢያ ሐኪም ቤት መውሰድ,ሐ. አደጋ እንዳይባባስ ማድረግ,መ. ሁሉም,,መ
210,አሽከርካሪው አደጋ የደረሰበትን አካባቢ መቆጣጠር የሚገባው ለምንድን ነው?,ሀ. ተጨማሪ አደጋ እንዳይከሰት ለመከላከል,ለ. ስለአደጋው ትክክለኛ መረጃ እንዲይጠፋ,ሐ. ወንጀልን ለመከላከል,መ. ሁሉም,,መ
211,የትራፊክ ፍሰትን አደጋ ከደረሰበት አቅጣጫ ማስቀየር ተጨማሪ አደጋን የመከላከል አንዱ መንገድ ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
212,መንገድ ቀይር፣ ቁም፣ ፍጥነት ቀንስ የሚሉ የማስጠንቀቂያ ምልክቶችን በመጠቀም ከአደጋው አካባቢ የትራፊክ ፍሰትን መቀነስ ይቻላል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
213,ጉዞን ማቀድ የሚቻለው በስራ አካባቢ የስራ ሂደት መመሪያን በመንተራስ ብቻ ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
214,ተጨማሪ ጉዳት በተጐዳ ሰው ላይ እንዳይደርስ ማድረግ በቅድሚያ የሚከናወን የመጀመሪያ እርዳታ አሰጣጥ ሂደት ሊሆን ይችላል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
215,በአደጋ ወቅት ተጨማሪ ጉዳት በተጐዳ ሰው ላይ እንዳይደርስ ማድረግ በቅድሚያ የሚከናወን የመጀመሪያ እርዳታ አሰጣጥ ሂደት ሊሆን ይችላል፡፡,ሀ. የግል ጥረት,ለ. የሌሎችን ድጋፍ መጠየቅ,ሐ. ሀ እና ለ መልስ ናቸው,መ. መለሱ የለም,,ሐ
216,ተጨማሪ ጥፋቶችን ለመቀነስ የሚወሰድ እርምጃ የቱ ነው?,ሀ. የአደጋ መብራት ማብራት,ለ. አንጸባራቂ ባለ ሶስት ጐኖች መጠቀም,ሐ. የሞተር ቁልፍ ማጥፋት,መ. ሁሉም,,መ
217,እንደደረሰው አደጋ መጠንና ጉዳት የሌሎችን እርዳታ መጠየቅ ይገባል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
218,አደጋ የደረሰበትን አካባቢ ለመቆጣጠርና ለመከላከል መወሰድ ያለበት እርምጃ የቱ ነው?,ሀ. ጠባቂ መስቀመጥ,ለ. ለሚመለከተው አካል ሪፖርት ማድረግ,ሐ. የትራፊክ ምልክቶችን ማስቀመጥ,መ. ሁሉም,,መ
219,አደጋ ካጋጠመ በኋላ ሪፖርት ሊደረግለት የሚገባ አካል የቱ ነው?,ሀ. ፖሊስ,ለ. ኢንሹራንስ,ሐ. ቀይ መስቀል,መ. ሁሉም,,መ
220,አደጋ በሚደርስበት ወቅት የስርቆት ወንጀል ለመፈጸም የሚጥሩ አካላት ስለሚኖሩ ጠባቂ ማስቀመጥ ተገቢ ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
221,በአደጋ ወቅት ድጋፍና እርዳታን ማመቻቸት የአሽከርካሪዎች ሙያዊ ግዴታ ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
222,እሳት በተሽከርካሪ ላይ ሊከሰት የሚችልበት ምክንያት ውስጥ ሊከተት የሚችለው የቱ ነው?,ሀ. የነዳጅ ማመላለሻ ቱቦ ነዳጅ መፍሰስ,ለ. የኤልክትሪክ ገመዶች መላላጥ,ሐ. የሞተሩ ከመጠን በላይ መሞቅ,መ. ሁሉም,,መ
223,እሳት የማይፈጠርበት መንገድ የሆነው የቱ ነው?,ሀ. ባትሪ ሲታሰርም ሆነ ሲፈታ በቂ ጥንቃቄ አለማድረግ,ለ. የነዳጅ ታንከር በአግባቡ ካልተከደነና ሲጋራ በአካባቢው የሚጨስ ከሆነ,ሐ. የነፋስ ኮምኘሬሰር ከፈነዳ,መ. መልሱ የለም,,መ
224,የእሳት ማጥፊያ ዘዴ የሆነው የቱ ነው?,ሀ. ማፈን,ለ. ማቀዝቀዝ,ሐ. ማስራብ,መ. ሁሉም,,መ
225,የመጀመሪያ እርዳታ ከመስጠት በፊት ከአሽከርካሪው የሚጠበቁ ቅድመ ሁኔታዎች ውስጥ,ሀ. አለመረበሽ,ለ. አካልና አእምሮን ዝግጁ ማደረግ,ሐ. ሀ እና ለ መልስ ናቸው,መ. መልስ የለም,,ሐ
226,የመጀመሪያ እርዳታ የመስጠት ሂደት ውስጥ የማይካተት የቱ ነው?,ሀ. የእርዳታ ቅደም ተከተልን ማቀድ,ለ. ጊዜ ሳያባክኑ የህክምና እርዳታ መስጠት,ሐ. ከአቅም በላይ ለመርዳት አለመሞከር,መ. መልሱ የለም,,መ
227,የመጀመሪያ እርዳታ ሲሰጥ,ሀ. በርህራሄ መርዳት,ለ. ተጐጂውን ማጽናናት,ሐ. የመጀመሪያ እርዳታ ካደረጉ በኋላ ወደ ህክምና መስጫ ጣቢያ(ማዕከል) መውሰድ,መ. ሁሉም,,መ
228,በሰው ላይ የሚደርስ የጉዳት ዓይነት የሆነው የቱ ነው?,ሀ. መድማት,ለ. መሰበር,ሐ. መቃጠል,መ. ሁሉም,,መ
229,በሰውነት ላይ የደረሰ አደጋ ምልክት ያልሆነው የቱ ነው?,ሀ. የተጐዳው ሰው ኃይልኛ የህመም ድምጽ ያሰማል,ለ. የተጐዳው ሰው ሰውነቱን ማንቀሳቀስ ይቸገራል,ሐ. የተጎዳው ሰው ህሊናውን ይስታል,,,መ
230,የሰውነት እብጠትና የመበለዝ አዝማሚያ ማሳየት የመጐዳት ምልክት ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
231,በጉዳት የሚመጣ የስብራት ዓይነት ያልሆነው የቱ ነው?,ሀ. ዝግ ስብራት,ለ. ክፍት ስብራት,ሐ. የተዘበራረቀ ስብራት,መ. መልስ የለም,,መ
232,የተወሳሰበ ስብራት የሚባለው በተሰበረው አጥንት አካባቢ ያለው ነርቦ ስለሚጐዳ ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
233,የተወሳሰበ ስብራት የሚባለው ከሚከተሉት ውስጥ የቱ ነው?,ሀ. የጐድን አጥንት ተሰብሮ ልብና ኩላሊት ሲጐዳ,ለ. የራስ ቅል ተሰብሮ አንጐል ሲጐዳ,ሐ. በዳሌ ስብራት ፊኛ ሲጐዳ,መ. ሁሉም መልስ ነው,,መ
234,ከላይ ያለው የሰውነት አካል ቁስል የተሰበረው አጥንት ሲታይ፡፡,ሀ. ዝግ ስብራት,ለ. ክፍት ስብራት,ሐ. ሀ እና ለ,መ. መልስ የለም,,ለ
235,ዝግ ስብራት ከውጪ ምንም ዓይነት ምልክት አያሳይም፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
236,በኤሌክትሪክ፣ በእሳትና በሰበቃ ምክንያት የሚከሰት ቃጠሎ,ሀ. እርጥበት ቃጠሎ,ለ. ደረቅ ቃጠሎ,ሐ. የመርዝ ቃጠሎ,መ.ሁሉም,,ለ
237,በደረቅ ቃጠሎ አደጋ ወቅት የመጀመሪያ ደረጃ የሀኪም እርዳታ የሆነው የቱ ነው?,ሀ. ሰውነትን አጥብቆ የያዘን ልብስና ቀበቶ ማውለቅ,ለ. ቁስሉን በንጹህ ጨርቅ ብቻ ላላ አድርጐ መሸፈን,ሐ. ተጐጂውን ማጽናናት,መ. ሁሉም,,መ
238,የደረቅ ቃጠሎ አደጋ የደረሰበትን ሰው ወደ ህክምና መስጫ ጣቢያ መውሰድ ይገባል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
239,በፈላ ውሀና በፈላ ቅባት የሚደርሰው የአደጋ ዓይነት የሆነው የቱ ነው?,ሀ. እርጥብ ቃጠሎ,ለ. ደረቅ ቃጠሎ,ሐ. የመርዝ ቃጠሎ,መ. ሁሉም,,ሀ
240,የተሽከርካሪ ጥገና ሲከናወን ሊሟላ የሚገባው የቱ ነው?,ሀ. በተገቢው የአለባበስ ሁኔታ ጥገና ማከናወን,ለ. የአካባቢን ብክለት ማስወገድ,ሐ. ለስራው ተገቢ መሣሪያ ማዘጋጀትና መጠቀም,መ. ሁሉም,,መ
241,አንድ አሽከርካሪ መለስተኛ ጥገና በሚያከናውንበት ወቅት ስራው ሊያስከትለው የሚችለውን ጫና ማወቅ ይጠበቅበታል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
242,አሽከርካሪው በስራው ላይ ሊያጋጥመው የሚችል የአደጋ ዓይነት የሆነው የቱ ነው?,ሀ. እሳት አደጋ,ለ. የተሽከርካሪ ግጭት,ሐ. የተሽከርካሪ መገልበጥ,መ. ሁሉም,,መ
243,አደጋን ለመከላከል የሚረዳ ቅድመ እርምጀ የቱ ነው?,ሀ. በቂ እረፍት መውሰድ,ለ. አማራጭ ማምለጫ ዘዴን ማወቅ,ሐ. መስኮት በመክፈት ሙቀትን መቀነስ,መ. ሁሉም,,መ
244,አንድ አሽከርካሪ በጉዞው ወቅት ለአደጋ መንስኤ ሊሆኑ የሚችሉ ነገሮችን አስቀድሞ መለየት ይገባዋል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
245,የተሽከርካሪን ፍጥነትና የመንገድ ሁኔታ አጠቃቀም ግምት ውስጥ አስገብቶ ማሽከርከር የአደጋን ተጋላጭነት ይቀንሳል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
246,አሽከርካሪዎች ከጉዞ በፊት የተሽከርካሪውን የቴክኒክ ብቃት የማረጋገጥ ችሎታ ሊኖራቸው ይገባል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
247,የጉዞን መስመር አጠቃላይ መረጃ መያዝ ተመራጭ ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
248,በየጊዜው የተሽከርካሪን ክፍሎች ያለመፈተሽ ለአደጋ የመጋለጥ እድልን ያሰፋል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
249,የመሰረታዊ የመጀመሪያ ህክምና እርዳታ አሰጣጥ በአሽክርካሪዎች የመተግበር ግዴታ የለበትም፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
250,አደጋ የማያደርሰው የጉዳት ዓይነት ያልሆነው የትኛው ነው?,ሀ. ፈጣን የሞት አደጋ,ለ. አካል ጉዳት,ሐ. ሀ እና ለ,መ. መልሱ የለም,,መ
251,የሰዎች ሞት በአደጋ ምክንያት ብቻ የሚከሰት የጉዳት ዓይነት ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
252,የአካባቢ ብክለት በትራፊክ አደጋ ምክንያት የሚከሰት የጉዳት ዓይነት አይደለም፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
253,የአንድን አሽከርካሪ ቅድሚያ እርዳታ የሚሻ ክፍል የቱ ነው?,ሀ. አካለ ጉዳተኛ ተሳፋሪዎች,ለ. እግረኞች,ሐ. ሀ እና ለ,መ. መልሱ የለም,,ሀ
254,የአካል ጉዳተኛ ተሳፊሪ ወይም እግረኛ ራሱን ከትራፊክ አደጋ መከላከል አይችልም፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
255,እግረኞች የአሽከርካሪዎችን ያህል የአደጋና የደህንነት ግንዛቤ የላቸውም፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
256,የራዲያተር ውሃ በችግር ምክንያት ሲፈላ አደጋ እንዳይደርስ በቀላሉ ክዳኑን ከፍቶ ውሃ መሙላት አይቻልም፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
257,የተሽከርካሪ ሞተር ከፍተኛ ሙቀት በሚያሳይበት ወቅት ወዲያውኑ ቀዝቃዛ ውሃ መጨመር ይቻላል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
258,ኤች አይ ቪ ኤድስ የምንከላከልበት መንገድ አንዱ የቫይረሱን ተጠቂዎችን በማግለል,ሀ. እውነት,ለ. ሀሰት,,,,ለ
259,ኤች አይ ቪ ኤድስን የመከላከያ መንገድ ኮንዶም መጠቀም ብቻ ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
260,የአሽከርካሪዎች የራስ ደህንነት መጠበቂያ መሣሪያዎች ውስጥ አንዱ የደህንነት ቀበቶ ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
261,ከየትኛውም መንገድ ተጠቃሚ ጋር የሚፈጠርን ያለመግባባት ማስወገድ ያለመቻል ለአደጋ ያጋልጣል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
262,ለእይታ በሚያስቸግር የአየር ሁኔታ ውስጥ ረጅሙ መብራት እስካለ ደረሰ እንደልብ ማሽከርከር ይቻላል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
263,ለአደጋ መፈጠር ብቸኛ ምክንያት የተሽከርካሪ ቴክኒክ ችግር ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
264,በመንገድ ላይ የሚገኝ አሽከርካሪን የሚጠቅም ተቋም የቱ ነው?,ሀ. ሆቴል,ለ. ነዳጅ ማደያ,ሐ. ባንክ,መ. ሁሉም,,መ
265,በጉዞ መስመር ላይ የሚገኝን ማህበረሰብ አሸከርካሪ ማወቅና ማሽከርከር ይጠበቅበታል፡፡,ሀ. ባህል,ለ. እምነት,ሐ. ሀ እና ለ,መ. መልስ የለም,,ሐ
266,ለጉዞ የሚያስፈልግ የነዳጅ መጠንን መገመት አያስፈልገንም፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
267,አደጋ ማለት ከአሽከርካሪና ከተሽከርካሪ ጋር በተያያዘ የሚፈጠር ጉዳት ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
268,ቆዳው ነጥቶና በልዞ የሚታይ ስንተኛ ደረጃ የቃጠሉ አይነት ነው ?,ሀ. የመጀመሪያ ደረጃ ቃጥሎ,ለ. ሁለተኛ ደረጃ ቃጠሎ,ሐ. ሦሰተኛ ደረጃ ቃጠሎ,መ. ሁሉም,,ሐ
269,ውሃ የቋጠረና ቆዳው የቀላ የቃጠሎ አይነት ሁለተኛ ደረጃ ቃጠሎ ይባላሉ,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
270,ቆዳው ቀልቶና አብጦ የሚለበልብ የቃጠሎ አይነት የቱ ነው?,ሀ. የመጀመሪያ ደረጃ,ለ.ሁለተኛ ደረጃ,ሐ. ሶሰተኛ ደረጃ,መ. መልሱ የለም,,ሀ
271,በመሠረታዊ የመጀመሪያ እርዳታ አሠጣጥ ቅደም ተከተል ውሰጥ የማይካተትው የቱ ነው?,ሀ. ተጐጂው በጀረባ ማንጋለል,ለ. የድገተኛ አደጋ እርዳታ ጥሪ ማድረግ,ሐ. የተጐዳውን የአካል ክፍል መለየት,መ. መልሱ የለም,,መ
272,በተጐዳ ሰው አካል ውሰጥ የተሰነቀረ ባዕዳ አካል ካለ,ሀ. በአስቸኳይ ማውጣት ይገባል,ለ. ያለ ዶክተር ርዳታ መንካት አይገባም,ሐ. ሀ እና ለ,መ. መልሱ የለም,,ለ
273,የተጐዳውን ወይም የቆሰለውን ሰው አካል ክፍል በንፁህ ጨርቅ ማሠር ይገባል,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
274,በመጀመሪያ እርዳታ ወቅት የማይጠቅም የግል መጠበቂያ መሣሪያ ያልሆነው የቱ ነው?,ሀ. ጓንት,ለ. የመተንፈሻ ክፍሎችን መሸፈኛ,ሐ. ሀ እና ለ,መ. መልሱ የለም,,መ
275,በመጀመሪያ እርዳታ አሰጠጥ ወቅት አደጋ የደረሰበትን ሰው,ሀ. ከአቅም በላይ መርዳት አለመሞከር ይገባል,ለ. በርህራሄ መርዳት,ሐ. የተጐዳውን ሠው ማፅናናት,መ. ሁሉም,,መ
276,በአይን ውሰጥ ባዕድ አካል ቢገባ የድገተኛ አደጋ እርዳታ መጥራት እንጂ ለማውጣት መሞከር አይገባም,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
277,አይን ሲጐዳ መደረግ ያለበት,ሀ. ማሸት,ለ. መጫን,ሐ. በረዶ ማድረግ,መ. መልሱ የለም,,መ
278,በቃጠሎ ምክንያት አካል ውሃ ሲቋጥር,ሀ. አንቲባዩቲክ ጄል መቀባት,ለ. ክሬም መቀባት,ሐ. ስቴራላይዝድ በሆነ ነገር መሸፈን,መ. ሁሉም,,መ
279,የህክምና እርዳታ የሚፈልግ ቁስል ከመነካካት ይልቅ በንፁህ ጨርቅ በመሸፈን የህክምና ባለሙያ ማሳየት ይገባል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
280,ጥቁሩ የአይን ክፍል ሲጐዳ በአይን ዙሪያ በሚገኝ አጥንት ላይ በረዶ ማድረግ አስፈለጊ ነው,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
281,የስብራት ጉዳት አይነት ያልሆነው የቱ ነው?,ሀ. ዝግ ሰብራት,ለ. ክፍት ሰብራት,ሐ. የተዘበራረቀ ሰብራት,መ. መልሱ የለም,,መ
282,የመድማትና የመቁሰል ምልክት የሚያሣይ የስብራት አይነት የቱ ነው?,ሀ. ክፍት ስብራት,,ሐ. የተዘበራረቀ ስብራት,መ. ሁሉም,,ሀ
283,የደም ስሮችንና ነርቭን የሚጐዳ የስብራት አይነት የቱ ነው?,ሀ. ዝግ ስብራት,,ሐ. ክፍት ስብራት,መ. ሁሉም መልሰ,,ለ
284,የመቁሰል ወይም የመድማት ምልክት የሚያሣይ ስብራት ዓይነት ዝግ ስብራት ይባላል,ሀ. እውነት,ለ. ሀሰት,,,,ለ
285,በእሳት፣ በብረት፣ በጋለ እቃ የሚከሰት የቃጠሎ አይነት,ሀ. ርጥብ ቀጥሎ,ለ. ደረቅ ቀጥሎ,ሐ. የመርዝ ቀጥሎ,መ. መልሰ የለም,,ለ
286,የመርዝ ቃጠሎ የሚባለው በፈላ ወሃና ቅባት የሚከሰት ነው,ሀ. እውነት,ለ. ሀሰት,,,,ለ
287,የአደጋ ክስተት ሪፖርት ከሚያካትታቸው መረጃዎች ውሰጥ የማይካተተው የቱ ነው?,ሀ. የአደጋ ውጤት,ለ. የጉዳት አይነት,ሐ. የአደጋ መነሻ,መ. መልሱ የለም,,መ