1,በቤንዚን የሚሠራ ሞተር ነዳጅ ከነዳጅ ጋን (ስልባትዮ) ወደ ካርቡሬተር እንዲተላለፍ የሚያደርገዉ ምንድነው?,ሀ. አየር ማጣሪያ,ለ. ካርቡሬተር,ሐ. የነዳጅ ፖምኘ,መ. ስልባትዮ,,ሐ
2,አንድ ሞተር ኃይል ለማመንጨት የሚጠቀመውን ነዳጅ ማከማቸት ወይም ማጠራቀሚያ --------------------ይባላል,ሀ. ነዳጅ ጋን (ስልባትዮ),ለ. ማጣሪያ,ሐ. ካርቡሬተር,መ. ማቀዝቀዣ,,ሀ
3,በአንድ የቤንዚን ሞተር ላይ የነዳጅ እና የአየር ድብልቅ ማመጣጠን የሚከናወነው በትኛው ክፍል ነው?,ሀ. በቦቢና,ለ. በካርቡሬተር,ሐ. በሞተሪኖ,መ. በማቀዝቀዣ ክፍል,,ለ
4,በሞተር አካባቢ ሊሰማ የሚችልን የማይፈለግ ድምጽንና በካርቡሬተር በኩል የሚመጣን እሳት አፍኖ የሚያስቀር ክፍል?,ሀ. ቼሬላ,ለ. ዴብራተር (አየር ማጣሪያ),ሐ. ሳልባትዮ,መ. ካርቡሌተር,,ለ
5,በካርቡሬተር ላይ የምንጠቀመው የአየር ማጣሪያ ዓይነት?,ሀ. ደረቅ አየር ማጣሪያ,ለ. እርጥብ የአየር ማጣሪያ,ሐ. ሀ እና ለ,መ. የአውቶማቲክ ቾክ፣,,ሀ
6,አየር በሞተር ውስጥ በመግባት በመታመቅና የታመቀው አየር ከፍተኛ ሙቀት ላይ ሲደርስ በላዩ ላይ ነዳጅ በተን መልክ በመረጨት የሚያቀጣጠል የሞተር ዓይነት---------ነው,ሀ. ተርባይን ሞተር፣,ለ. ባለቤንዝል ሞተር ,ሐ. ባለናፍጣ ሞተር   ,መ. ባለጋዝ ሞተር,,ሐ
7,በናፍጣ በሚሠራ ሞተር በሲሊንደር ዉስጥ ናፍጣውን (ነዳጁን) በትነት መልክ የሚረጭ ክፍል ምን ተብሎ ይጠራል?,ሀ. አንጄክተር ፖምኘ,ለ. የነዳጅ ማጣሪያ፣,ሐ. ኢንጄክተር ኖዝል፣,መ. የነዳጅ መስመር,,ሐ
8,በናፍጣ ሞተር ላይ በመጀመሪያና በሁለተኛ ማጣሪያዎች የገባ ነዳጅ ከተጣራ በኋላ ወደ ኢንጄክሽን ፖምኘ በመግፋት የሚያስተላልፍ ክፍል የቱ ነው?,ሀ. ኢንጄክተር ኖዝል፣,ለ. ፕራይመሪ ፖምፕ፣,ሐ. መጋቢ ፖምኘ,መ. ኢንጄክተር ፖምኘ,,ሐ
9,በናፍጣ ሞተር ላይ ሲሊንደር ውስጥ የሚገባው እርጥበት አዘል አየርን በማሞቅ ሞተሩን በቀላሉ እንዲነሳ የሚያገለግል?,ሀ. ቦቢና,ለ. ካንዴላ,ሐ. ግሎው ኘላግ፣,መ ኖዝል፣,,ሐ
10,ቤንዝንና በናፍጣ ሞተር ነዳጅ አስተላለፍ ክፍሎች መደረግ የሌለበት,ሀ. የነዳጅ መጠንን በነዳጅ ማመልከቻ ጌጅ ማወቅ,ለ. በስልባትዮ (ነዳጅ ጋን) ውስጥ የነዳጅ መጠንን ለማወቅ እንጨት /ኘላስቲክ/ ቱቦ,ሐ. ነዳጅ በስልባትዮ ውስጥ ከግማሽ በታች እንዳይሆን መከታተል,መ. በስባትዮ ውስጥ እንደ ሞተሩ ዓይነት ትክክለኛውን ነዳጅ መጠቀም,,ለ
11,ሞተር ለማቀዝቀዝ የሚያገለግል ዘዴ የትኛው ነው,ሀ. በውሃ ማቀዝቀዝ,ሐ. በአየር ማቀዝቀዝ,ለ. በማለስላሻ ዘይት,መ. ሀ እና ሐ መልስ ናቸው,,መ
12,በሞተር ውስጥ ውሃ እንዲዘዋወር የሚያደርግ የማቀዝቀዣ ክፍል የቱ ነዉ?,ሀ. የውሃ ፖምኘ,ሐ. ሪዘርቭየር /ኤክስፖንሽን ታንከር/,ለ. ራዲያተር,መ. ሆዝ /መስመር/,,ሀ
13,ከውጭ ወደ ሞተር ዙሪያ አየርን በመቅዘፍ በቀጥታ ራዲያተሩንና የሞተሩን ዙሪያው የሚያቀዘቅዝ ክፍል?,ሀ. ራዲያተር,ሐ. ቬንትሌተር,ለ. የውሃ ፖምኘ        ,መ. ኤር ኮንዲሽነር,,ሐ
14,አሽከርካሪው የተሽከርካሪውን አቅጣጫ የሚቆጣጠረበት መሣሪያ ፍሬን ይባላል፡፡,ሀ. እውነት፣,ለ. ሀሰት፣,,,,ሀ
15,የተሽከርካሪ ሞተር ሙቀት እንዳይጨምር የሚያደርግ አጋዥ ክፍል ኤሌክትሪክ ክፍል,ሀ. እውነት፣,ለ. ሀሰት፣,,,,ለ
16,አሽከርካሪዎች የጐማን ብሎን መላላት ተከታትለው በየወቅቱ መፈተሽ አለባቸው፡፡,ሀ. እውነት፣,ለ. ሀሰት፣,,,,ሀ
17,የማሽከርከር ሥልት ሥልጠና አሸከርካሪው በተለያዩ መልከዓ-ምድራዊ አቀማመጥ ባለላቸው መንገዶች ላይ እንዴት ማሽከርከር እንዳለበት የሚሰጥ ሥልጠና ነው፡፡,ሀ. እውነት፣,ለ. ሀሰት፣,,,,ሀ
18,የአንድን ተሽከርካሪ ሞተር በማስነሳት ጊዜ የእጅ ፍሬን መያዝ አስፈላጊ አይደለም፡፡,ሀ. እውነት፣,ለ. ሀሰት፣,,,,ለ
19,የተሽከርካነውን ሞተር ለማስነሳት የማስነሻ ቁልፉን ከ30 ሰኮንድ በላይ ይዞ መቆየት አይገባም፡፡,ሀ. እውነት፣,ለ. ሀሰት፣,,,,ለ
20,ማንኛውም ተሽከርካሪ በማስነሻው ቁልፍ ሞተሩ መነሳት ካልተቻለ ተሽከርካነውን በግፊት ማስነሳት ይቻላል፡፡,ሀ. እውነት፣,ለ. ሀሰት,,,,ለ
21,የቤንዚን ተሽከርካሪን ሞተር በቁልፍ ስናስነሳ የካርቡሬተሩን ቾክ ቫልቭ በማሳብ በቀላሉ የሚነሳ ሲሆን በናፍጣ ሞተር ግን በቀጥታ ቁልፉን በመጠምዘዝ በቀላሉ የሚነሳ ይሆናል፡፡,ሀ. እውነት፣,ለ. ሀሰት፣,,,,ሀ
22,በፍሪሲዮንና በነዳጅ አመጣጥኖ ተሽከርካሪን ለተወሰነ ደቂቃ ባላንስ በማድረግ ማቆም ተሽከርካሪው ወደ ኋላ ወይንም ወደ ፊት እንዳይንሸራተት ማድረግ ነው፡፡,ሀ. እውነት፣,ለ. ሀሰት፣,,,,ሀ
23,እጅግ በጣም ተጠጋጋቶ ማሸከርከር ለአደጋ መፈጠር አንደኛው ምክንያት ቢሆንም ሌላው እንደ ምክንያት የሚጠቀሰው የመንገዱን አጠቃላይ ሁኔታ አለመረዳት ነው፡፡,ሀ. እውነት፣,ለ. ሀሰት፣,,,,ሀ
24,የናፍጣ ሞተር ተሽከርካሪን ሞተሩን እንደ ቤንዚን ሞተር ተሽከርካሪ በቀጥታ ለማስነሳት የማይቻለው ለምንድን ነው፡፡,ሀ. ለማስነሳት ቁልፍ ስለሚያስቸግር፣,ለ. ለማስነሳት በቅድሚያ ሞተሩን ማሞቅ ያስፈልጋል፣,ሐ. የተቆለፈው መሪ ቶሎ ስለማይከፈት፣,መ. መልስ አልተሰጠም፣,,ለ
25,ማንኛውም የተሸከርካሪ ሞተር በተለይ ጠዋት ጠዋት በቁልፍ ስናስነሳ ሞተሩን ለ15 ደቂቃ በሚኒሞ ማሠራት ለምን አስፈለገ፡፡,ሀ. የተነሳው ሞተር እንዲሞቅ፣,ለ. በሞተሩ ውስጥ ያለው የሞተር ዘይት በየሲስተሙ እንዲዘዋወር ለማድረግ፣,ሐ. በራዲያተሩ ውስጥ ያለው ቀዝዘዛ ውሃ መካከለኛ ሙቀት እንዲኖረው፣,መ. ሁሉም መልስ ነው፡፡,,መ
26,በሥራ ላይ የነበረን የተሽከርካሪ ሞተር ለማጥፋት በቅድሚያ መከናወን ያለበት፡፡,ሀ. ፍሪሲዮንና ፍሬን መርገጥ፣,ለ. ማርሽ ዜሮ ማድረግና የእጅ ፍሬን መያዝ፣,ሐ. ማስነሻ ቁልፍን ከStart ወደ Lock አቅጣጫ ማዞር,መ. ሁሉም መልስ ነው፡፡,,ሀ
27,ከሚከተሉት ውስጥ አንዱ በሲሊንደር ሔድ ላይ ከሚገኙት እቃዎች ውስጥ አይመደብም፡፡,"ሀ. ካንዴላ,","ለ. ካንዴለቲ,","ሐ. ፖምፔታ,","መ. ቫልቭ,",,ሀ
28,ከሚከተሉት ውስጥ አንዱ በሲሊንደር ሔድ ላይ ከሚገኙት እቃዎች ውስጥ አይመደብም,ሀ. ካንዴላ,ሐ. ፖምፔታ,ለ. ካንዴለቲ,መ. ቫልቭ,,ሐ
29,የዲፈረንሻል ተግባር ከሞተር የመጣውን ዙር በ9ዐ% ዲግሪ ቀይሮ ለሺሚያስ ማስተላለፍ ነው,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
30,መካከለኛ ውፍረት ያለው ብረት ሆኖ ኃይልን ለጐማ የሚያቀብል ክፍል ተብሎ ይጠራል፡፡,"ሀ. ሺሚያስ,","ለ. ኘሮፔለር ሻፍት,","ሐ. ካምሻፍት,","መ. ቫልቭ ጋይድ,",,ሀ
31,ፒስተን በየትኛው የሞተር ክፍል ውስጥ ይገኛል?,"ሀ. በሲሊንደር ሄድ,","ለ. በሲሊንደር ብሎክ,","ሐ. በዲፈረንሻል,",መ. መልሱ አልተሰጠም,,ለ
32,ዲፈረንሻል ከሞተር የመጣውን ዙር በኩርባ መንገድ ላይ ለሁለቱም ጐማዎች እኩል ያከፋፍላል,ሀ. እውነት,ለ. ሀሰት,,,,ለ
33,የባትሪ መሙያ ክፍል ተግባር ሞተሩ እንደተነሳ ባትሪው ለሞተሪኖ ያቀበለውን የኤሌክትሪክ ሀይል መልሶ መተካት ነው,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
34,ከሚከተሉት አንዱ የሞተር ማስነሻ ክፍል አይደለም,"ሀ. ቁልፍ,","ለ. ሞተሪኖ,","ሐ. ባትሪ,","መ. መልሱ አልተሰጠም,",,መ
35,የዲስትሪቢውተር ተግባር ከቦቢና የመጣውን የኤሌክትሪክ ኃይል ለካንዴላ ማቀበል ነው,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
36,የፑንቲና ተግባር የሆነው የቱ ነው?,"ሀ. ከባትሪ ወደ ቦቢና የሚሄደውን,","ለ. ፑንቲናን እንዳይቃጠል,","ሐ. ከቦቢና የመጣውን,","መ. ሁሉም መልስ ይሆናሉ,",,ሐ
37,የኮንዴንሰር ተግባር ፑንቲና እንዳይቃጠል መጠበቅ ነው,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
38,የተሽከርካሪ መሠረታዊ አካል የሚባሉት ------ ናቸዉ,"ሀ. ቦዲ,","ሐ. ሞተር,","ለ. ሻንሲ,",መ. ሁሉም መልስ ነው,,መ
39,የኃይል አስተላላፊ ክፍሎች የተሽከርካሪ መሠረታዊ አካል አንድ ክፍል ናቸው,ሀ. እውነት,ሀ. እውነት,,,,ሀ
40,በምሽት ጊዜ ተሽከርካሪን ከመንገድ ጠርዝ ላይ ስናቆም የሚበራ መብራት ነው,"ሀ. ሀዛርድ ፍሬቻ,","ሐ. የፊት መብራት,","ለ. ፖርኪንግ መብራት,",መ. የኋላ መብራት,,ለ
41,በባትሪ ውስጥ የሚገኝ ፈሳሽ የውሃና የሰልፈሪክ አሲድ ድብልቅ ነው,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
42,የታርጋ መብራት አገልግሎት በምሽት ጊዜ ተሽከርካሪው አደጋ አድርሶ ቢያመልጥ በታርጋው እንዲያዝ ለማድረግ ነዉ,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
43,በባትሪው ውስጥ ምን ያህል የኤሌክትሪክ ኃይል እንዳለ የሚጠቁም መሳሪያ ይባላል?,ሀ. ጀነሬተር,ለ. ባትሪ ጌጅ,ሐ. ሬጉሌተር,መ. ዲናሞ,,ለ
44,በተሽከርካሪ ላይ የሚገኙት ፊውዞች በቅርጽና በሚያስተላልፉት የኤሌክትሪክ መጠን ተመሳሳይ ናቸ,ሀ. እውነት,ሀ. እውነት,,,,ለ
45,ሞተር እየሰራ የባትሪ ምልክት ያለበት ጌጅ ሲበራ,ሀ. ባትሪው ቻርጅ እየተደረገ ነው,ለ. ባትሪው ቻርጅ እየተደረገ አለመሆኑን ይጠቁማል,ሐ. “ሀ” እና “ለ” መልስ ይሆናሉ,መ. መልሱ አልተሰጠም,,ለ
46,በተሽከርካሪ ላይ የዝናብ መጥረጊያ ከፊተኛው መስታወት ላይ ብቻ ይገኛል,ሀ. እውነት,ለ. ሀሰት,,,,ለ
47,የሞተር ዘይት አንዱ ተግባር የሞተሩን የውስጥ ክፍል ማጽዳት ነው,ሀ. እውነት,ለ. ሀሰት,,,,ለ
48,የነዳጅን አሰጣጥ መመጠን ከአንድ አሽከርካሪ የሚጠበቅ ባህሪ ነው?,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
49,የፊት ጐማዎች ከኋለኛው ይልቅ የላቀ የንፋስ መጠን ሊኖራቸው ይገባል,ሀ. እውነት,ለ. ሀሰት,,,,ለ
50,በተሽከርካሪ ላይ የተለያየ መጠን ያለውን ጐማ መግጠም በተሽከርካሪው ላይ ምንም የሚያስከትለው ችግር የለም,ሀ. እውነት,ለ. ሀሰት,,,,ለ
51,የራዲያተር ውሃ መጉደል ለሞተር መሞቅ ምክንያት ይሆናል,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
52,መብራቶች በየጊዜው ከሚፈተሹ የተሽከርካሪ ክፍሎች ውስጥ ይመደባሉ,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
53,የፍሬን ፔዳል ሲረገጥ እንደ እስፖንጅ ከላላ በመስመሩ ውስጥ አየር መግባቱን ያመለክታል,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
54,የፍሬን ሸራ ሲበላ የፍሬን ፔዳል ዝቅ ይላል,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
55,የእጅ ፍሬንን ብቃት በሜዳማ ቦታ ላይ ማረጋገጥ ይቻላል,ሀ. እውነት,ለ. ሀሰት,,,,ለ
56,በዘይት የሚታገዝ የመሪ ክፍል ቺንጋ መላላት ለመሪ ብቃት መቀነስ ምክንያት ይሆናል,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
57,የባትሪ ውሃ መጠን ዝቅ ማለት ከባትሪው የሚገኘውን የኤሌክትሪክ መጠን እንዲቀንስ ያደርጋል,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
58,ከሚከተሉት አንዱ በቺንጋ አይነዳም,ሀ. የውሃ ፖምኘ,ለ. ጀነሬተር,ሐ. የመሪ ዘይት,መ. መልሱ አልተሰጠም,,መ
59,ተሽከርካሪን በዳገት ላይ ስናቆም ማርሹን ዜሮ ላይ ማድረግ አለብን,ሀ. እውነት,ለ. ሀሰት,,,,ለ
60,ተሽከርካሪን በቁልቁለት ላይ ስናቆም ማርሹን አንደኛ ላይ ማድረግ አለብን,ሀ. እውነት,ለ. ሀሰት,,,,ለ
61,ሞተር ስናስነሳ ቁልፉን ለአንድ ደቂቃ “start” የሚለው ላይ መያዝ ይኖርብናል,ሀ. እውነት,ለ. ሀሰት,,,,ለ
62,በትናንሽ አውቶሞቢሎች ላይ የተሽከርካሪውን ፍጥነት ለመቆጣጠር ፍሬና ሞተር መጠቀም ይቻላል,ሀ. እውነት,ለ. ሀሰት,,,,ለ
63,በመፍጠን ላይ ያለን ተሽከርካሪ የእጅ ፍሬን ተጠቅሞ ማቆም ይቻላል,ሀ. እውነት,ለ. ሀሰት,,,,ለ
64,ሞተር ጠፍቶ ባለበት ሰዓት ፍሬና ሞተርን መጠቀም ይቻላል,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
65,በዘይት ከሚሠራው መሪ ይልቅ ሜካኒካል መሪ ለአጠቃቀም አስቸጋሪና ጠንካራ ነው,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
66,ለመሪ የሚያገለግለው ዘይትና ለሞተር የምንጠቀመው ዘይት በሁሉም ተሽከርካሪ ተመሳሳይ ነው,ሀ. እውነት,ለ. ሀሰት,,,,ለ
67,የጐማ ንፋስ መጠን መቀነስ ለመሪ መጠንከር ምክንያት ይሆናል,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
68,በዘይት የሚሠራ ፍሬን በአየር ከሚሠራው በተሻለ የፍሬን ብቃቱ የላቀ ነው,ሀ. እውነት,ለ. ሀሰት,,,,ለ
69,ሪዶታ ለፍጥነት የሚያገለግል የማርሽ አይነት ነው,ሀ. እውነት,ለ. ሀሰት,,,,ለ
70,አውቶማቲክ ማርሽ ያላቸው ተሽከርካሪዎች ላይ ተሽከርካሪው በእንቅስቃሴ ላይ እያለ ማርሽ መነካካት ይቻላል,ሀ. እውነት,ለ. ሀሰት,,,,ለ
71,ተሽከርካሪ በቁልፍ አልነሳ ካለ በግፊ ማስነሳት ይመረጣል,ሀ. እውነት,ለ. ሀሰት,,,,ለ
72,የተሽከርካሪ መሪ በአየር እየታገዘ መስራት ይችላል,ሀ. እውነት,ለ. ሀሰት,,,,ለ
73,1ኛ እና 2ኛ ማርሾች ለተሽከርካሪው ፍጥነትን ያስገኛሉ,ሀ. እውነት,ለ. ሀሰት,,,,ለ
74,የኋላ ማርሽ ከአራተኛ የበለጠ ጉልበት አለው,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
75,አውቶማቲክ ማርሽ የራሱ የሆነ የማርሽ ማሰሪያ አለው,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
76,ተሽከርካሪው ለመቆም መፈለጉን የሚጠቁም መሳሪያ ፍሬቻ ይባላል,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
77,ተሽከርካሪን ከቆመበት ለማንቀሳቀስ በመጀመሪያ የመነሻ ማርሽ ከማስገባት በፊት የእጅ ፍሬኑን መልቀቅ ያስፈልጋል,ሀ. እውነት,ለ. ሀሰት,,,,ለ
78,ለረጅም ጊዜ የሠራን ሞተር ቶሎ ማጥፋት ለቱርቦ ቻርጀር መበላሸት ምክንያት ይሆናል,ሀ. እውነት,ለ. ሀሰት,,,,
79,የሞተር ቁልፍ ሲበላሽ የኤሌክትሪክ ገመዶች በመቀጣጠል ሞተር ማስነሳት ይፈቀዳል,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
80,የቤንዚን ሞተር ሁለት የነዳጅ ፖምኘ አለው,ሀ. እውነት,ለ. ሀሰት,,,,ለ
81,ተሽከርካሪው በዳገት ላይ ሲቆም የኋላ ማርሽ አስገብቶ ማቆም ተገቢ ነዉ,ሀ. እውነት,ለ. ሀሰት,,,,ለ
82,ሞተር ወዲያው እንደተነሳ ነዳጅ እየሰጡ ጉዞ መጀመር ተገቢ ነው,ሀ. እውነት,ለ. ሀሰት,,,,ለ
83, ሞተር ከተነሳ በኋላ የማስነሻ ቁልፉ የሚሆነው ---------- ላይ ነው,ሀ. ሎክ,ለ. ማስነሻ,ሐ. ኦን,መ. መልሱ የለም,,ለ
84,የቆሸሸና ንፅህናው ያልተጠበቀ ተሽከርካሪ ለአደጋ ያጋልጣል,ሀ. እውነት,ለ. ሀሰት,,,,ሐ
84,የቆሸሸና ንፅህናው ያልተጠበቀ ተሽከርካሪ ለአደጋ ያጋልጣል,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
85,የቀኝ ፍሬቻ ተሽከርካሪን ከቆመበት ለማስነሳት የምንጠቀምበት የማስጠንቀቂያ ምልክት ነው,ሀ. እውነት,ለ. ሀሰት,,,,ለ
86,በአውቶማቲክ የማርሽ ዘንግ ላይ ያለው “R“ ተሽከርካሪዉ ሲቆም ዘንጉ የሚያርፍበት ቦታ ነው,ሀ. እውነት,ለ. ሀሰት,,,,ለ
88,የጋቢና ውስጥ መስታወት በጐን በኩል ያለውን የተሽከርካሪ ክፍል ለመቆጣጠር ያገልግላል,ሀ. እውነት,ለ. ሀሰት,,,,መ
89,የፍሪሲዮን ፔዳል በአሽከርካሪው በስተቀኝ በኩል የሚገኝ ፔዳል ነው,ሀ. እውነት,ለ. ሀሰት,,,,ለ
90,የነዳጅ መስጫ የተሽከርካሪ ፍጥነት መቆጣጠሪያ መሳሪያ ነው,ሀ. እውነት,ለ. ሀሰት,,,,ለ
91,ለመቆም ሲፈለግ በቅድሚያ መደረግ ያለበት የውስጥ መመልከቻ መስታወት በማየት ከኋላ በቅርብ እርቀት ሌላ ተሽከርካሪ አለመኖሩን ማረጋገጥ ይገባል,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
92,ጥምዝ ሞላ የተሸካሚ ክፍል ነው,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
93,የፍሪሲዮን ፔዳል ባይረግጥም ተሽከርካሪው ፍጥነት ላይ እያለ ማርሹን መለዋወጥ ይቻላል,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
94,ዲፈረንሻል የተሽከርካሪ የመቆጣጠሪያ ክፍል ነው,ሀ. እውነት,ለ. ሀሰት,,,,ለ
95,ባትሪ በየሲሊንደሮች ላይ እሳት የሚረጭ የኤሌክትሪክ ክፍል ነው,ሀ. እውነት,ለ. ሀሰት,,,,ለ
96,ዲስትሪቢውተር በናፍጣ ሞተር የኤሌክትሪክ ክፍል ነው,ሀ. እውነት,ለ. ሀሰት,,,,ለ
97,ከሚከተሉት ውስጥ ፈጣን አደጋ የሚያስከትለው የቱ ነው,ሀ. የፍሬን ብልሽት,ለ. የማቀዝቀዣ ክፍል ብልሽት,ሐ. የኤሌክትሪክ ክፍል ብልሽት,መ. የኃይል አስተላላፊ ክፍል ብልሽት,,ለ
98,ሞተር የሚጠፋው የሞተር ማስነሻ ቁልፉ “ACC” የሚለው ላይ ሲደረግ ነው,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
99,የእጅ ፍሬን ብዙ ጊዜ በአሽከርካሪው በስተግራ በኩል የሚገኝ የተሽከርካሪ መቆጣጠሪያ መሳሪያ ነው,ሀ. እውነት,ለ. ሀሰት,,,,ለ
100,ጐማ የኃይል አስተላላፊ ክፍል ነው,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
101,በፍጥነት እየተጓዘ ያለን ተሽከርካሪ ፍጥነት ለመቆጣጠር በቅድሚያ የሚረገጠው የፍሪሲዮን ፔዳል ነው,ሀ. እውነት,ለ. ሀሰት,,,,ለ
102,ካምቢዮ በሞተር እና በፍሪሲዮን መካከል የሚገኝ የሀይል አስተላላፊ ክፍል ነው,ሀ. እውነት,ለ. ሀሰት,,,,ለ
103,ዳሽ ቦርድ በየትኛው የተሸካርካሪ ክፍል ውስጥ ይገኛል?,ሀ. በሞተር,ለ. በጋቢና,ሐ. በሻንሲ,መ. በኃይል አስተላላፊ,,ሐ
104,በዳሽ ቦርድ ላይ የሚገኘው የባትሪ ቻርጅ ጠቋሚ መብራት ሞተር እየሰራ ሲበራ የምን ምልክት ነው?,ሀ. የባትሪ መድከም,ለ. ምልክት የለውም,ሐ. የሰዓት,መ. የባትሪ ቻርጅ አለማድረግ,,መ
105,በዳሽ ቦርድ ላይ ያለው የዘይት ግፊት ጠቋሚ መብራት ላይ ያለው ምልክት የምንድ ነው?,ሀ. የባትሪ ምልክት,ለ. የሰዓት ምልክት,ሐ. የዘይት መጨመሪያ ኩባያ,መ. መልሱ የለም,,ለ
106,የኮንዴንሰር ሥራ ፑንቲና በመክፈትና በመዝጋት ጊዜ በኤሌክትሪክ ብልጭታ ምከንያት እንዳይቃጠል መከላከል ነው፡፡,ሀ. እውነት,ለ. ሐሰት,,,,ሀ
